checked_at,requested_brand,matched_brand,match_mode,search_result_total,matched_products,pages_scanned,top_candidate_brands,status
2026-09-18T03:56:51+09:00,오퍼스 0012,오퍼스 0012,exact,0,176,4,오퍼스 0012:176,ok
2026-09-18T16:56:56+09:00,오프메이드,오프메이드,exact,0,67,2,오프메이드:67 | 유니온가먼츠:4 | 미얼리 메이드:1 | 소네트오브나잇:1,ok
2026-09-18T06:41:58+09:00,오픈야드(오와이),오픈야드(오와이),exact,0,1348,24,오픈야드(오와이):1348 | 코치:7 | 오와이:4 | 르니나:1 | 숲:1,ok
2026-09-18T07:00:18+09:00,오헤시오,오헤시오,exact,0,336,7,오헤시오:336 | 무신사 스탠다드 우먼:20,ok
2026-09-18T00:34:44+09:00,오호스,오호스,exact,0,150,4,오호스:150 | 휠라:4 | 노이토:2 | 스키즘 인듀싱:2,ok
2026-09-18T04:02:07+09:00,와르,와르,exact,0,174,9,와르 포 우먼:237 | 와르:174 | 오버더와르:48 | 블랙하비:3 | 8톤트럭케이스:2,ok
2026-09-18T14:57:47+09:00,와이케이,와이케이,exact,0,685,13,와이케이:685 | 베리클로젯:1,ok
2026-09-17T21:56:08+09:00,와키윌리,와키윌리,exact,0,1928,34,와키윌리:1928 | 리끌로우:2,ok
2026-09-18T16:54:06+09:00,요세미티,요세미티,exact,0,103,5,요세미티:103 | 시에라디자인:56 | 더 레스큐:9 | 뷰오리:9 | 노스페이스:3,ok
2026-09-18T10:00:01+09:00,워크온바디오프,워크온바디오프,exact,0,349,7,워크온바디오프:349,ok
2026-09-17T21:38:30+09:00,원헌드레드퍼센트,원헌드레드퍼센트,exact,0,1834,36,원헌드레드퍼센트:1834 | 원헌드레드퍼센트 포 우먼:200 | 르꼬끄:20 | 엄브로:3,ok
2026-09-18T03:35:43+09:00,웨이브걸,웨이브걸,exact,0,123,4,웨이브걸:123,ok
