checked_at,goods_no,product_name,brand_name,purchase_total,page_view_total,normal_price,current_price,sale_rate,review_count,rating,like_count,availability,simple_gmv,product_url
2026-08-25T14:03:55+09:00,# 7024843,,,,,,,,,,,,,https://www.musinsa.com/products/# 7024843
2026-08-25T14:03:55+09:00,# 브랜드 자동검색에서 발견된 상품번호도 이 파일에 자동으로 추가됩니다.,,,,,,,,,,,,,https://www.musinsa.com/products/# 브랜드 자동검색에서 발견된 상품번호도 이 파일에 자동으로 추가됩니다.
2026-08-25T14:03:55+09:00,# 브랜드 자동검색과 별개로 직접 추적할 무신사 상품번호가 있으면 한 줄에 하나씩 입력하세요.,,,,,,,,,,,,,https://www.musinsa.com/products/# 브랜드 자동검색과 별개로 직접 추적할 무신사 상품번호가 있으면 한 줄에 하나씩 입력하세요.
2026-08-25T14:05:21+09:00,5899301,ASI 포시즌 에센셜 후드 집업_크롭 피그먼트 차콜,디미트리블랙,3514,17929,61700,41900,32,231,,,InStock,147236600,https://www.musinsa.com/products/5899301
2026-08-25T14:05:22+09:00,5899299,VLAD 체크 아플리케 후드 티셔츠_블랙,디미트리블랙,136,798,65000,35900,45,18,,,InStock,4882400,https://www.musinsa.com/products/5899299
2026-08-25T14:05:22+09:00,5899300,2WAY OG 에센셜 디트로이트 후드 집업_데님 빈티지 블랙,디미트리블랙,1039,4154,73300,47900,35,46,,,InStock,49768100,https://www.musinsa.com/products/5899300
2026-08-25T14:05:23+09:00,5899297,VLAD 체크 아플리케 후드 티셔츠_피그먼트 차콜,디미트리블랙,183,996,65000,42900,34,20,,,InStock,7850700,https://www.musinsa.com/products/5899297
2026-08-25T14:05:23+09:00,5899296,VLAD 체크 아플리케 후드 티셔츠_멜란지,디미트리블랙,112,741,65000,39900,39,14,,,InStock,4468800,https://www.musinsa.com/products/5899296
2026-08-25T14:05:24+09:00,5899295,에센셜 스퀘어 웨스턴 벨트_블랙,,626,1270,249003330025,249003330025,0,,,,,155876084595650,https://www.musinsa.com/products/5899295
2026-08-25T14:05:24+09:00,5899294,VLAD 원턱 커브드 컷오프 스웻 팬츠_피그먼트 차콜,디미트리블랙,4728,12900,50000,33900,32,422,,,InStock,160279200,https://www.musinsa.com/products/5899294
2026-08-25T14:05:25+09:00,5899292,VLAD 원턱 커브드 컷오프 스웻 팬츠_멜란지,디미트리블랙,4493,10734,50000,29500,41,413,,,InStock,132543500,https://www.musinsa.com/products/5899292
2026-08-25T14:05:25+09:00,5899291,VLAD 턴오버 아트웍 로고 럭비 후드 티셔츠_피그먼트 차콜,디미트리블랙,157,1010,65000,42900,34,27,,,InStock,6735300,https://www.musinsa.com/products/5899291
2026-08-25T14:05:26+09:00,5899290,VLAD 턴오버 아트웍 로고 럭비 후드 티셔츠_멜란지,디미트리블랙,62,635,65000,42900,34,8,,,InStock,2659800,https://www.musinsa.com/products/5899290
2026-08-25T14:05:26+09:00,5899289,VLAD 턴오버 아트웍 로고 럭비 후드 티셔츠_네이비,디미트리블랙,76,827,65000,38900,40,18,,,InStock,2956400,https://www.musinsa.com/products/5899289
2026-08-25T14:05:27+09:00,5899073,프렌치 워크 자켓_데님 더스트 인디고,디미트리블랙,0,676,73300,49900,32,4,,,InStock,0,https://www.musinsa.com/products/5899073
2026-08-25T14:05:28+09:00,5899059,프렌치 워크 자켓_데님 빈티지 블랙,디미트리블랙,0,553,73300,49900,32,1,,,InStock,0,https://www.musinsa.com/products/5899059
2026-08-25T14:05:28+09:00,5899050,,,619,1985,,,,,,,,,https://www.musinsa.com/products/5899050
2026-08-25T14:05:29+09:00,5899044,포시즌 에센셜 헨리넥 롱슬리브 티셔츠_멜란지,디미트리블랙,223,1159,50000,29900,40,22,,,InStock,6667700,https://www.musinsa.com/products/5899044
2026-08-25T14:05:29+09:00,5899030,포시즌 에센셜 헨리넥 롱슬리브 티셔츠_오트밀,디미트리블랙,133,1056,50000,29900,40,13,,,InStock,3976700,https://www.musinsa.com/products/5899030
2026-08-25T14:05:30+09:00,5864295,,,887,1064,,,,,,,,,https://www.musinsa.com/products/5864295
2026-08-25T14:05:30+09:00,5864299,[10주년기획] © 모두의 셀비지 데님 팬츠_4 COLOR,,9086,10364,439006670034,439006670034,0,,,,,3988814603928924,https://www.musinsa.com/products/5864299
2026-08-25T14:05:31+09:00,5864298,[10주년기획] © 모두의 셀비지 데님 자켓_2 COLOR,,1304,2089,5990010000040,5990010000040,0,,,,,7810973040052160,https://www.musinsa.com/products/5864298
2026-08-25T14:05:32+09:00,5864297,[10주년기획] ©모두의 커브드 치노 팬츠_6 COLOR,디미트리블랙,21461,30583,50000,29900,40,2128,,,InStock,641683900,https://www.musinsa.com/products/5864297
2026-08-25T14:05:32+09:00,5864294,[핏 선택] 포시즌 에센셜 원턱 커브드 스웻 팬츠_2COLOR,,8902,9362,269004500040,269004500040,0,,,,,2394678059356080,https://www.musinsa.com/products/5864294
2026-08-25T14:05:33+09:00,5864293,데일리 워셔블 피그먼트 헨리넥 라운드 니트_차콜,디미트리블랙,608,1039,43700,31900,27,84,,,InStock,19395200,https://www.musinsa.com/products/5864293
2026-08-25T14:05:33+09:00,5864292,데일리 워셔블 피그먼트 헨리넥 라운드 니트_브라운,디미트리블랙,128,795,43700,34900,20,13,,,InStock,4467200,https://www.musinsa.com/products/5864292
2026-08-25T14:05:34+09:00,5864290,ASI 포시즌 에센셜 후드 집업_데님 더스트 인디고,디미트리블랙,919,10401,51000,43900,14,64,,,InStock,40344100,https://www.musinsa.com/products/5864290
2026-08-25T14:05:34+09:00,5864289,ASI 포시즌 에센셜 후드 집업_데님 빈티지 블랙,디미트리블랙,3674,35010,65900,43900,33,165,,,InStock,161288600,https://www.musinsa.com/products/5864289
2026-08-25T14:05:35+09:00,5864287,FAUX 레더 워시드 데일리 자켓_브라운,디미트리블랙,184,923,71200,52900,26,18,,,InStock,9733600,https://www.musinsa.com/products/5864287
2026-08-25T14:05:35+09:00,5864286,VLAD 원턱 커브드 트랙 스웻 팬츠_멜란지,디미트리블랙,3603,13752,49200,29900,39,252,,,InStock,107729700,https://www.musinsa.com/products/5864286
2026-08-25T14:05:36+09:00,5864285,VLAD 원턱 커브드 트랙 스웻 팬츠_브라운,디미트리블랙,4595,15458,49200,33900,31,251,,,InStock,155770500,https://www.musinsa.com/products/5864285
2026-08-25T14:05:36+09:00,5864284,포시즌 에센셜 스웻 맨투맨 티셔츠_크롭 피그먼트 차콜,디미트리블랙,662,1144,46200,33900,27,77,,,InStock,22441800,https://www.musinsa.com/products/5864284
2026-08-25T14:05:37+09:00,5864283,포시즌 에센셜 스웻 맨투맨 티셔츠_크롭 멜란지,디미트리블랙,214,718,46200,33900,27,26,,,InStock,7254600,https://www.musinsa.com/products/5864283
2026-08-25T14:05:38+09:00,5864282,ASI 포시즌 에센셜 후드 집업_크롭 피그먼트 레드,디미트리블랙,86,2882,51000,39900,22,10,,,InStock,3431400,https://www.musinsa.com/products/5864282
2026-08-25T14:05:38+09:00,5864281,ASI 포시즌 에센셜 후드 집업_크롭 피그먼트 그린,디미트리블랙,202,3113,51000,36900,28,19,,,InStock,7453800,https://www.musinsa.com/products/5864281
2026-08-25T14:05:38+09:00,5636391,2WAY 디트로이트 패딩 자켓_데님 더스트 인디고,디미트리블랙,867,1325,77700,53900,31,81,,,InStock,46731300,https://www.musinsa.com/products/5636391
2026-08-25T14:05:39+09:00,5538666,ASI 2WAY 헤비웨이트 푸퍼 패딩 자켓_블랙,,4714,1852,429005220018,429005220018,0,,,,,2022330607164852,https://www.musinsa.com/products/5538666
2026-08-25T14:05:40+09:00,5478151,피그먼트 트랙 니트 후드 집업_피그먼트 차콜,,6016,3760,499006670025,499006670025,0,,,,,3002024126870400,https://www.musinsa.com/products/5478151
2026-08-25T14:05:41+09:00,5478154,ASI 미니멀 패딩 크롭 자켓_블랙,디미트리블랙,2141,1346,66600,49900,25,211,,,InStock,106835900,https://www.musinsa.com/products/5478154
2026-08-25T14:05:41+09:00,5478147,2WAY 디트로이트 패딩 자켓_블랙,디미트리블랙,2908,2135,77700,55900,28,221,,,InStock,162557200,https://www.musinsa.com/products/5478147
2026-08-25T14:05:42+09:00,5478143,2WAY 에센셜 헤비웨이트 노르딕 가디건_후드 차콜,디미트리블랙,514,1102,69900,49900,29,42,,,InStock,25648600,https://www.musinsa.com/products/5478143
2026-08-25T14:05:42+09:00,5478142,2WAY 에센셜 헤비웨이트 노르딕 가디건_후드 베이지,디미트리블랙,1391,1523,69900,45900,34,99,,,InStock,63846900,https://www.musinsa.com/products/5478142
2026-08-25T14:05:43+09:00,5478140,VLAD 피그먼트 래글런 하찌 라운드 니트_피그먼트 차콜,디미트리블랙,477,656,44400,36900,17,55,,,InStock,17601300,https://www.musinsa.com/products/5478140
2026-08-25T14:05:43+09:00,5478129,에센셜 헤어리 라운드 니트_웨이브 그린,디미트리블랙,222,747,55000,29900,46,30,,,InStock,6637800,https://www.musinsa.com/products/5478129
2026-08-25T14:05:44+09:00,5478128,에센셜 헤어리 라운드 니트_웨이브 네이비,디미트리블랙,276,996,55000,29900,46,44,,,InStock,8252400,https://www.musinsa.com/products/5478128
2026-08-25T14:05:45+09:00,5478111,VLAD 아플리케 로고 니트 후드 티셔츠_오트밀,디미트리블랙,0,416,51000,42900,16,3,,,InStock,0,https://www.musinsa.com/products/5478111
2026-08-25T14:05:45+09:00,5478110,VLAD 아플리케 로고 니트 후드 티셔츠_네이비,디미트리블랙,60,520,51000,45900,10,9,,,InStock,2754000,https://www.musinsa.com/products/5478110
2026-08-25T14:05:45+09:00,5477159,바라클라바 슬래쉬 후드 집업_쉐르파 플리스 차콜,디미트리블랙,11124,6353,76700,42900,44,720,,,InStock,477219600,https://www.musinsa.com/products/5477159
2026-08-25T14:05:46+09:00,5477157,바라클라바 슬래쉬 후드 집업_쉐르파 플리스 베이지,디미트리블랙,978,2001,76700,42900,44,89,,,InStock,41956200,https://www.musinsa.com/products/5477157
2026-08-25T14:05:47+09:00,5477152,All-Sunday 원턱 와이드 데님 팬츠_코듀로이 더스트 인디고,디미트리블랙,916,2136,37700,31900,15,77,,,InStock,29220400,https://www.musinsa.com/products/5477152
2026-08-25T14:05:47+09:00,5477154,헤어리 모헤어 카디건_그레이 블루,디미트리블랙,197,482,44400,39900,10,32,,,InStock,7860300,https://www.musinsa.com/products/5477154
2026-08-25T14:05:48+09:00,5477149,All-Sunday 원턱 와이드 데님 팬츠_코듀로이 인디고 옐로우,디미트리블랙,244,450,37700,33900,10,11,,,InStock,8271600,https://www.musinsa.com/products/5477149
2026-08-25T14:05:48+09:00,5477146,ASI OG 에센셜 트러커 자켓_코듀로이 에크루,디미트리블랙,0,479,63500,49900,21,5,,,InStock,0,https://www.musinsa.com/products/5477146
2026-08-25T14:05:50+09:00,5477144,에센셜 페이드 워싱 커브드 팬츠_코듀로이 에크루,디미트리블랙,1474,1560,37700,33900,10,124,,,InStock,49968600,https://www.musinsa.com/products/5477144
2026-08-25T14:05:50+09:00,5477145,에센셜 페이드 워싱 커브드 팬츠_코듀로이 블랙,디미트리블랙,2433,1776,37700,33900,10,220,,,InStock,82478700,https://www.musinsa.com/products/5477145
2026-08-25T14:05:50+09:00,5477143,에센셜 페이드 워싱 커브드 팬츠_코듀로이 브라운,디미트리블랙,4908,2405,37700,31900,15,374,,,InStock,156565200,https://www.musinsa.com/products/5477143
2026-08-25T14:05:51+09:00,5477142,컴포트 하프 모크넥 니트 티셔츠_블랙,디미트리블랙,93,359,28800,23900,17,9,,,InStock,2222700,https://www.musinsa.com/products/5477142
2026-08-25T14:05:52+09:00,5477141,컴포트 하프 모크넥 니트 티셔츠_화이트,디미트리블랙,0,332,28800,25900,10,2,,,InStock,0,https://www.musinsa.com/products/5477141
2026-08-25T14:05:52+09:00,5477139,컴포트 하프 모크넥 니트 티셔츠_차콜,디미트리블랙,0,340,28800,25900,10,4,,,InStock,0,https://www.musinsa.com/products/5477139
2026-08-25T14:05:52+09:00,5477138,VLAD 심볼 로고 투톤 니트 비니_블랙,디미트리블랙,88,521,27700,24900,10,13,,,InStock,2191200,https://www.musinsa.com/products/5477138
2026-08-25T14:05:53+09:00,5401056,[리뉴얼] 라이트 쉘 경량 PCK 다운 자켓_스카이 블루,디미트리블랙,3162,12415,121000,69200,43,366,,,InStock,218810400,https://www.musinsa.com/products/5401056
2026-08-25T14:05:54+09:00,5401055,[리뉴얼] 라이트 쉘 경량 PCK 다운 자켓_블랙,디미트리블랙,7979,27581,121000,89900,26,861,,,InStock,717312100,https://www.musinsa.com/products/5401055
