date,checked_at,brand_name,product_count,daily_baseline_product_count,purchase_total_sum,simple_gmv_sum,daily_sales_sum,daily_estimated_gmv_sum,daily_page_view_increase_sum,daily_review_increase_sum,daily_like_increase_sum,sales_7d_sum,sales_7d_avg_per_day,estimated_gmv_7d,sales_30d_sum,sales_30d_avg_per_day,estimated_gmv_30d,products_with_7d_baseline,products_with_30d_baseline,new_products
2026-08-27,2026-08-27T13:41:08+09:00,트릴리온,32,0,11380,0,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,트립르센스,691,0,49003,2830799250,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,틸아이다이,460,0,34798,2720054150,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,파르티멘토,548,0,591585,32561832880,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,파브레가,392,0,124923,9197942400,0,0,0,0,0,,,,,,,0,0,2
2026-08-27,2026-08-27T17:32:44+09:00,프렌다,470,0,306292,9882847530,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,프리즘웍스,1158,0,333774,31722347750,0,0,0,0,0,,,,,,,0,0,1158
2026-08-27,2026-08-27T17:32:44+09:00,플랙,406,0,99830,6431897180,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,플리즈노팔로우,412,0,47989,3756822250,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,피인오,117,0,45545,1964529740,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,필루미네이트,1005,0,1199714,42372069900,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,해비즘,269,0,73289,2953996280,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,허그본,81,0,345918,8479009520,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,헬레네파리스,306,0,59169,3241078450,0,0,0,0,0,,,,,,,0,0,306
2026-08-27,2026-08-27T17:32:44+09:00,효지,135,0,201958,10507597520,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,후드후드,451,0,61780,2645263800,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,후러브스아트,98,0,1001143,36356993530,0,0,0,0,0,,,,,,,0,0,0
2026-08-27,2026-08-27T17:32:44+09:00,후브스,243,0,211875,11030253750,0,0,0,0,0,,,,,,,0,0,0
