first_seen_at,brand_name,goods_no,product_name,normal_price,current_price,sale_rate
2026-08-27T10:51:26+09:00,제멋,1604795,[2PACK] 리오 오버핏 벌룬 후드 7종 2Pack KJHD2304,93900,63900,32
2026-08-27T10:51:26+09:00,제멋,1604798,리오 오버핏 벌룬 후드 블랙 KJHD2304,47000,37900,19
2026-08-27T10:51:26+09:00,제멋,1604801,리오 오버핏 벌룬 후드 그레이 KJHD2304,47000,37900,19
2026-08-27T10:51:26+09:00,어반드레스,1606252,드레스 투버튼 더블 오버 블레이저 블랙,152000,76000,50
2026-08-27T10:51:26+09:00,에스피오나지,1608372,Miller Heavyweight Cardigan Dust,146000,146000,0
2026-08-27T10:51:26+09:00,어반드레스,1609651,오버핏 울 체크 셔츠 그레이,48000,24000,50
2026-08-27T10:51:26+09:00,어반드레스,1609659,스트로베리 오버핏 체크 셔츠,46000,23000,50
2026-08-27T10:51:26+09:00,제멋,1615818,[2PACK] 로그 오버핏 기모 후드 2pack YHHD2302,100000,71900,28
2026-08-27T10:51:26+09:00,제멋,1615820,로그 오버핏 기모 후드 크림 YHHD2302,50000,39800,20
2026-08-27T10:51:26+09:00,제멋,1615822,로그 오버핏 기모 후드 블랙 YHHD2302,50000,39800,20
2026-08-27T10:51:26+09:00,제멋,1615827,로그 오버핏 기모 후드 네이비 YHHD2302,50000,39800,20
2026-08-27T10:51:26+09:00,제멋,1615829,로그 오버핏 기모 후드 그레이 YHHD2302,50000,39800,20
2026-08-27T10:51:26+09:00,제멋,1615831,[2PACK] 텐스 오버핏 터틀넥 티셔츠 6종 2Pack YHLT2309,53700,36900,31
2026-08-27T10:51:26+09:00,제멋,1615837,텐스 오버핏 터틀넥 티셔츠 아이보리 YHLT2309,26900,21900,19
2026-08-27T10:51:26+09:00,제멋,1615838,텐스 오버핏 터틀넥 티셔츠 블랙 YHLT2309,26900,21900,19
2026-08-27T10:51:26+09:00,제멋,1615839,텐스 오버핏 터틀넥 티셔츠 레드빈 YHLT2309,26900,21900,19
2026-08-27T10:51:26+09:00,제멋,1615840,텐스 오버핏 터틀넥 티셔츠 다크그레이 YHLT2309,26900,21900,19
2026-08-27T10:51:26+09:00,프리즘웍스,1616341,HBT PATCHWORK PANTS _ NAVY,109000,54500,50
2026-08-27T10:51:26+09:00,프리즘웍스,1616454,DENIM TRUCKER JACKET 003 _ RIGID INDIGO,109000,54500,50
2026-08-27T10:51:26+09:00,제멋,1617883,카디 오버핏 MA-1 자켓 블랙 YHJK2319,92000,79800,13
2026-08-27T10:51:26+09:00,제멋,1617884,카디 오버핏 MA-1 자켓 딥그레이 YHJK2319,92000,79800,13
2026-08-27T10:51:26+09:00,어반드레스,1620635,유니섹스 데이즈 오버핏 체크셔츠-블랙,54000,27000,50
2026-08-27T10:51:26+09:00,에스피오나지,1622045,NAVAL Academy Heavyweight Hoodie Navy,98000,58800,40
2026-08-27T10:51:26+09:00,어반드레스,1622792,유니섹스 베이스 오버핏 체크셔츠-네이비,44000,39600,10
2026-08-27T10:51:26+09:00,어반드레스,1625094,유니섹스 플랙스 오버핏 골지 폴라 니트 - 8COL,36000,32400,10
2026-08-27T10:51:26+09:00,어반드레스,1628444,유니섹스 플랙스 와이드 팬츠 스카이블루,38000,15200,60
2026-08-27T10:51:26+09:00,어반드레스,1629784,유니섹스 포인트 오버핏 체크 셔츠 네이비,48000,43200,10
2026-08-27T10:51:26+09:00,어반드레스,1635702,플랙스 골지 오버핏 라운드 니트 - 8COL,35000,28000,20
2026-08-27T10:51:26+09:00,프리즘웍스,1637039,BANDANA PADDING SHIRT JACKET _ BLUE,189000,75600,60
2026-08-27T10:51:26+09:00,프리즘웍스,1637040,BANDANA PADDING SHIRT JACKET _ RED,189000,75600,60
2026-08-27T10:51:26+09:00,노이어,1638580,썸머울 원 턱 릴렉스 슬랙스 (블랙),142000,63900,55
2026-08-27T10:51:26+09:00,노이어,1638592,울 원 턱 릴렉스 슬랙스 (블랙),142000,63900,55
2026-08-27T10:51:26+09:00,노이어,1638648,22FW 핸드메이드 수리알파카 머플러 코트 (블랙),520000,442000,15
2026-08-27T10:51:26+09:00,어반드레스,1647895,마르스 오버핏 울 체크 셔츠-네이비,48000,28800,40
2026-08-27T10:51:26+09:00,프리즘웍스,1669473,[FWS X SAINTPAIN] BANDANA LINING RIDERS JACKET _ BLUE,109000,109000,0
2026-08-27T10:51:26+09:00,프리즘웍스,1669597,[FWS X 357 PARTMENT] 10TH ANNIVERSARY FWS ART TOY,68000,34000,50
2026-08-27T10:51:26+09:00,어반드레스,1678518,유니섹스 플랙스 롱 오버핏 코트 블랙,188000,75200,60
2026-08-27T10:51:26+09:00,어반드레스,1684196,유니섹스 프렌치 롱 가운 오버핏 코트 7 COLOR,188000,94000,50
2026-08-27T10:51:26+09:00,노이어,1699819,캐시미어 슬릿 터틀넥 니트 (베이지),110000,88000,20
2026-08-27T10:51:26+09:00,노이어,1702427,오버핏 후드 더플 코트 (블랙),620000,527000,15
2026-08-27T10:51:26+09:00,어반드레스,1711264,UNISEX OVERFIT G.G HOODIE - 3COL,72000,36000,50
2026-08-27T10:51:26+09:00,제멋,1733263,[SET] 리오 오버핏 후드 스웨트세트 KJHD2304+KJLP2179,93900,59300,37
2026-08-27T10:51:26+09:00,제멋,1733264,[2PACK] 로아 덤블기모 박시 후드 2Pack KJHD2324,101900,63900,37
2026-08-27T10:51:26+09:00,제멋,1733266,로아 덤블기모 박시 후드 차콜 KJHD2324,51000,35900,30
2026-08-27T10:51:26+09:00,제멋,1733267,로아 덤블기모 박시 후드 블랙 KJHD2324,51000,35900,30
2026-08-27T10:51:26+09:00,제멋,1733271,로아 덤블기모 박시 후드 다크네이비 KJHD2324,51000,35900,30
2026-08-27T10:51:26+09:00,제멋,1733273,로아 덤블기모 박시 후드 그레이 KJHD2324,51000,35900,30
2026-08-27T10:51:26+09:00,제멋,1733274,로그 오버핏 기모 후드 백오트밀 YHHD2302,50000,39800,20
2026-08-27T10:51:26+09:00,제멋,1733275,로그 오버핏 기모 후드 다크그레이 YHHD2302,50000,39800,20
2026-08-27T10:51:26+09:00,제멋,1786791,로그 기모 조거팬츠 블랙 YHLP2336,45800,33900,26
2026-08-27T10:51:26+09:00,제멋,1786792,로그 기모 조거팬츠 백오트밀 YHLP2336,45800,33900,26
2026-08-27T10:51:26+09:00,제멋,1786793,로그 기모 조거팬츠 다크그레이 YHLP2336,45800,33900,26
2026-08-27T10:51:26+09:00,제멋,1786794,로그 기모 조거팬츠 네이비 YHLP2336,45800,33900,26
2026-08-27T10:51:26+09:00,제멋,1786795,로그 기모 조거팬츠 그레이 YHLP2336,45800,33900,26
2026-08-27T10:51:26+09:00,제멋,1786796,먼츠 생지 데님팬츠 YHLP2337,53000,43900,17
2026-08-27T10:51:26+09:00,제멋,1787100,[SET] 로그 기모 후드 스웨트세트 YHHD2302+YHLP2336,95700,64900,32
2026-08-27T10:51:26+09:00,에스피오나지,1790968,Oxford Over Shirt Grey Stripe,116000,104400,10
2026-08-27T10:51:26+09:00,에스피오나지,1790970,Oxford Over Shirt Blue,116000,104400,10
2026-08-27T10:51:26+09:00,에스피오나지,1790971,Oxford Over Shirt White,116000,104400,10
2026-08-27T10:51:26+09:00,프리즘웍스,1811198,TWILL BALLOON PANTS _ OLIVE,65000,65000,0
