date,slot,goods_no,brand_name,product_name,first_failed_at,last_failed_at,attempts,last_error,current_price,product_url
2026-09-23,1,7319338,어반에이지,와일드로고 오버핏 하프집업_오트밀,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,63000,https://www.musinsa.com/products/7319338
2026-09-23,1,7319342,어반에이지,와일드로고 오버핏 하프집업_화이트멜란지,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,63000,https://www.musinsa.com/products/7319342
2026-09-23,1,7319345,어반에이지,와일드로고 오버핏 하프집업_멜란지그레이,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,63000,https://www.musinsa.com/products/7319345
2026-09-23,1,7319349,어반에이지,와일드로고 오버핏 하프집업_블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,63000,https://www.musinsa.com/products/7319349
2026-09-23,1,7319400,어반에이지,플리스 풀 오버 하프집업_브라운,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,75000,https://www.musinsa.com/products/7319400
2026-09-23,1,7319404,어반에이지,플리스 풀 오버 하프집업_아이보리,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,75000,https://www.musinsa.com/products/7319404
2026-09-23,1,7319452,어반에이지,와일드로고 나그랑 기모 후드 집업 _블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,75000,https://www.musinsa.com/products/7319452
2026-09-23,1,7319456,어반에이지,와일드로고 나그랑 기모 후드 집업 _네이비,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,75000,https://www.musinsa.com/products/7319456
2026-09-23,1,7319458,어반에이지,와일드로고 나그랑 기모 후드 집업 _버건디,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,75000,https://www.musinsa.com/products/7319458
2026-09-23,1,7319459,어반에이지,와일드로고 나그랑 기모 후드 집업 _브라운,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,75000,https://www.musinsa.com/products/7319459
2026-09-23,1,7319533,어반에이지,라이트쉘 나그랑 후드 경량 패딩_블랙,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,76200,https://www.musinsa.com/products/7319533
